path,lines,qt_widgets,qt_qobject,qt_core,qt_network,qt_qml,sqlite,posix
Letos/core/letos.h,293,0,3,24,0,0,0,0
Letos/core/log.cpp,93,0,0,26,0,0,0,0
Letos/core/log.h,26,0,0,21,0,0,0,0
Letos/core/pluginloader.cpp,35,0,0,1,0,0,0,0
Letos/core/pluginloader.h,36,0,0,4,0,0,0,0
Letos/core/pluginservicebase.cpp,22,0,5,3,0,0,0,0
Letos/core/pluginservicebase.h,96,0,4,7,0,0,0,0
Letos/core/populateworker.cpp,121,0,10,11,0,0,0,0
Letos/core/populateworker.h,43,0,4,11,0,0,0,0
Letos/core/qio.cpp,6,0,0,3,0,0,0,0
Letos/core/qio.h,34,0,0,7,0,0,0,0
Letos/core/querygenerator.cpp,315,0,0,105,0,0,0,0
Letos/core/querygenerator.h,85,0,0,52,0,0,0,0
Letos/core/querymodel.cpp,64,0,2,6,0,0,0,0
Letos/core/querymodel.h,42,0,2,6,0,0,0,0
Letos/core/returncode.cpp,52,0,0,7,0,0,0,0
Letos/core/returncode.h,27,0,0,10,0,0,0,0
Letos/core/schemaresolver.cpp,1755,0,0,422,0,0,0,0
Letos/core/schemaresolver.h,321,0,0,274,0,0,0,0
Letos/core/selectresolver.cpp,1014,0,2,115,0,0,0,0
Letos/core/selectresolver.h,350,0,0,74,0,0,0,0
Letos/core/sqlfileexecutor.cpp,363,0,15,63,0,0,0,0
Letos/core/sqlfileexecutor.h,60,0,4,30,0,0,0,0
Letos/core/sqlhistorymodel.cpp,45,0,1,2,0,0,0,0
Letos/core/sqlhistorymodel.h,20,0,2,2,0,0,0,0
Letos/core/tablemodifier.cpp,1278,0,9,136,0,0,0,0
Letos/core/tablemodifier.h,194,0,0,103,0,0,0,0
Letos/core/translations.cpp,145,0,0,41,0,0,0,0
Letos/core/translations.h,29,0,0,12,0,0,0,0
Letos/core/tsvserializer.cpp,145,0,0,30,0,0,0,0
Letos/core/tsvserializer.h,23,0,0,15,0,0,0,0
Letos/core/viewmodifier.cpp,126,0,3,15,0,0,0,0
Letos/core/viewmodifier.h,53,0,0,18,0,0,0,0
Letos/gui/actionentry.cpp,43,0,0,3,0,0,0,0
Letos/gui/actionentry.h,31,0,0,6,0,0,0,0
Letos/gui/codesnippetspanel.cpp,137,5,0,7,0,0,0,0
Letos/gui/codesnippetspanel.h,46,5,1,3,0,0,0,0
Letos/gui/codesnippetspanel.ui,93,6,0,0,0,0,0,0
Letos/gui/configmapper.cpp,860,87,4,109,0,0,0,0
Letos/gui/configmapper.h,140,55,3,49,0,0,0,0
Letos/gui/configuiplugin.h,26,3,0,3,0,0,0,0
Letos/gui/customconfigwidgetplugin.h,22,5,0,4,0,0,0,0
Letos/gui/dataview.cpp,1500,41,2,36,0,0,0,0
Letos/gui/dataview.h,277,22,10,11,0,0,0,0
Letos/gui/dblistmodel.cpp,227,2,2,8,0,0,0,0
Letos/gui/dblistmodel.h,77,3,2,6,0,0,0,0
Letos/gui/dbobjectdialogs.cpp,446,8,0,85,0,0,0,0
Letos/gui/dbobjectdialogs.h,76,3,2,42,0,0,0,0
Letos/gui/dbobjlistmodel.cpp,128,0,1,5,0,0,0,0
